Prix,Stock,Fabricant,Modèle,Série,Catégorie,Lien,Dispo occas,Lien petite annonce
4 679 ,Pas de stock,Markbass,MB Kilimanjaro 5 Signature Richard Bona,Basses électriques 5 cordes,16/02/2022,https://fr.audiofanzine.com/basse-electrique-divers/markbass/mb-kilimanjaro-5-signature-richard-bona/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/markbass/mb-kilimanjaro-5-signature-richard-bona/petites-annonces/
519 ,Pas de stock,Sire,V5 5ST (Alder),Basses électriques 5 cordes,16/01/2022,https://fr.audiofanzine.com/basse-electrique-divers/sire/marcus-miller-v5-alder-5-tobacco-sunburst/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/sire/marcus-miller-v5-alder-5-tobacco-sunburst/petites-annonces/
1 519 ,En stock,Ibanez,SR1346B Premium,SR Premium,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr1306-b-premium/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr1306-b-premium/petites-annonces/
2 299 ,En stock,Fender,American Ultra Jazz Bass V,American Ultra,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/fender/american-ultra-jazz-bass-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/fender/american-ultra-jazz-bass-v/petites-annonces/
633.30 ,En stock,Jackson,David Ellefson Signature Concert Bass CBXM V,David Ellefson,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/jackson/david-ellefson-concert-bass-cbxm-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/jackson/david-ellefson-concert-bass-cbxm-v/petites-annonces/
749 ,En stock,Yamaha,TRBX605FM,TRBX,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/trbx605fm/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/trbx605fm/petites-annonces/
399 ,En stock,Ibanez,SR305E,SR Standard,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305e-2016/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305e-2016/petites-annonces/
379 ,En stock,Ibanez,SR305EB,SR Standard,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305eb/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305eb/petites-annonces/
1 125 ,Pas de stock,Ibanez,K5,Fieldy,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/k5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/k5/petites-annonces/
849 ,En stock,Ibanez,SR605,SR Standard,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr605/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr605/petites-annonces/
799 ,En stock,Ibanez,SR505,SR Standard,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr505/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr505/petites-annonces/
